clarity;aroma;body;flavor;oakiness;quality
1.0;3.3;2.8;3.1;4.1;9.8
1.0;4.4;4.9;3.5;3.9;12.6
1.0;3.9;5.3;4.8;4.7;11.9
1.0;3.9;2.6;3.1;3.6;11.1
1.0;5.6;5.1;5.5;5.1;13.3
1.0;4.6;4.7;5.0;4.1;12.8
1.0;4.8;4.8;4.8;3.3;12.8
1.0;5.3;4.5;4.3;5.2;12.0
1.0;4.3;4.3;3.9;2.9;13.6
1.0;4.3;3.9;4.7;3.9;13.9
1.0;5.1;4.3;4.5;3.6;14.4
0.5;3.3;5.4;4.3;3.6;12.3
0.8;5.9;5.7;7.0;4.1;16.1
0.7;7.7;6.6;6.7;3.7;16.1
1.0;7.1;4.4;5.8;4.1;15.5
0.9;5.5;5.6;5.6;4.4;15.5
1.0;6.3;5.4;4.8;4.6;13.8
1.0;5.0;5.5;5.5;4.1;13.8
1.0;4.6;4.1;4.3;3.1;11.3
0.9;3.4;5.0;3.4;3.4;7.9